
2025/02/22 (21:55:39) | ===> btop++ v.1.4.0
2025/02/22 (21:55:39) | ERROR: Stall in Runner thread, restarting!

2025/02/23 (14:39:13) | ===> btop++ v.1.4.0
2025/02/23 (14:39:13) | ERROR: Stall in Runner thread, restarting!

2025/02/23 (19:14:17) | ===> btop++ v.1.4.0
2025/02/23 (19:14:17) | ERROR: Stall in Runner thread, restarting!

2025/02/23 (20:42:47) | ===> btop++ v.1.4.0
2025/02/23 (20:42:47) | WARNING: Failed to join _runner thread on exit!

2025/02/27 (15:07:36) | ===> btop++ v.1.4.0
2025/02/27 (15:07:36) | ERROR: Stall in Runner thread, restarting!

2025/02/27 (20:19:36) | ===> btop++ v.1.4.0
2025/02/27 (20:19:36) | ERROR: Stall in Runner thread, restarting!

2025/03/01 (12:31:54) | ===> btop++ v.1.4.0
2025/03/01 (12:31:54) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (12:32:00) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (12:32:06) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (12:32:12) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (12:32:18) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (12:32:24) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (12:32:30) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (12:32:36) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (12:32:42) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (12:32:48) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (12:32:54) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (12:33:00) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (12:33:06) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (12:33:12) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (12:33:18) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (12:33:24) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (12:33:30) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (12:33:36) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (12:33:42) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (12:33:48) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (12:33:54) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (22:42:23) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (22:42:29) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (22:42:35) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (22:42:41) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (22:42:47) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (22:42:53) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (22:42:59) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (22:43:05) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (22:43:11) | ERROR: Stall in Runner thread, restarting!
2025/03/01 (22:43:17) | ERROR: Stall in Runner thread, restarting!

2025/03/02 (13:58:05) | ===> btop++ v.1.4.0
2025/03/02 (13:58:05) | ERROR: Stall in Runner thread, restarting!

2025/03/06 (12:48:11) | ===> btop++ v.1.4.0
2025/03/06 (12:48:11) | ERROR: Stall in Runner thread, restarting!

2025/03/07 (19:13:04) | ===> btop++ v.1.4.0
2025/03/07 (19:13:04) | ERROR: Stall in Runner thread, restarting!

2025/03/08 (20:11:06) | ===> btop++ v.1.4.0
2025/03/08 (20:11:06) | ERROR: Stall in Runner thread, restarting!

2025/03/10 (18:41:00) | ===> btop++ v.1.4.0
2025/03/10 (18:41:00) | ERROR: Stall in Runner thread, restarting!

2025/03/12 (13:52:35) | ===> btop++ v.1.4.0
2025/03/12 (13:52:35) | ERROR: Stall in Runner thread, restarting!
